UserID,UserNo,Name,Email,IP Address,Unique ID,Started,Ended,Tracking Link,Q8978198,Q8978199,Q8978200,Q8978201,Q8978202,Q8978205,Q8978206,,Q10160220,,,,Q8978209,Q8978203,Q8978204,,Q8978207,Q8978210,,,,Q9215126,Q9215135,Q8978211,,,,,,,,,,,Q10765296,Q9562712,Q9864001,Q8978212,,Q9480381,Q8978221,,,Q8978222,Q9512985,Q9456395,Q8978224,,,,,Q9505407,Q8978226,Q9512168,Q8978227,Q8978228,Q8978229,,,,,,Q9442572,Q9065119,,,,,,,,,,,,,,,,Q8978233,,,,,,,,Q9505480,Q9442668,,,,,,,,,,,,,,,,Q9442669,Q9442670,,,,,,Q8978235,,,,,,,,,,,,,Q8978236,,,,,,Q8978240,Q8978238,Q9318333,Q8978234,,,,,,Q8978237,Q8978241,,,,,,,,,,,,,,,,Q8978242,Q8978243,,,,,,,,,,,,,,,,,Q8978244,,,,,,Q8978245,Q8978246,Q8978247,Q8978248,,,,,,,,,,,Q8978249,Q8978250,Q8978251,Q8978252,,,Q8978253,,,,Q8978254,Q8978255,Q8978256,Q8978257,Q8978258,Q8978259,Q8978260,Q8978261,Q8978262,,,,,,,Q8978263,,,,,,Q8978264,,,Q8978265,,Q10861459,,,,,,,,,,Q8978266,,,,,
,,,,,,,,,14,Male,"Gay, lesbian or bisexual",Chinese,No religion,Year 13,Missing,Missing,No,No,No,No,Yes,One parent,,,No,8,Missing,Missing,Missing,10,4,Rarely or never,Once a week or less,2-3 days a week,On most days,2-3 days a week,Rarely or never,Rarely or never,2-3 days a week,Rarely or never,On most days,Missing,5,Don't know/ Prefer not to say,2 or more,1,Missing,0,No,Yes,No,I have never smoked,I have vaped once or twice,Missing,No,No,No,No,Yes,Missing,2-4 times a month,"No, I want to keep drinking alcohol",6,Weekly,No,No,No,No,No,No,I take drugs occasionally (less than once a week),No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Missing,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Missing,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Missing,Missing,It can be both treated and cured,I have heard of it but know nothing about it,It can be both treated and cured,It can be both treated and cured,Doctor,Not sure,Missing,Agree,Not sure,Not sure,Agree,Not sure,Agree,Missing,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Not sure,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,Missing,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Neither safe or unsafe,Safe,Safe,Neither safe or unsafe,No,No,Never,Don't know,Missing,No,Most days/Every day,Prefer not to say,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,Sometimes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Missing,Maybe,No
,,,,,,,,,13,Male,"Gay, lesbian or bisexual",Black,Muslim,Year 12,The Adeyfield Academy,Missing,No,No,No,No,No,One parent,,,No,7,Missing,Missing,Missing,2,4,Once a week or less,On most days,2-3 days a week,On most days,Rarely or never,Once a week or less,Once a week or less,Once a week or less,2-3 days a week,Once a week or less,Missing,5,Overweight,1,7,Missing,0,Yes,No,No,I smoke regularly (once a week or more),I have vaped once or twice,I'd like to reduce the amount I smoke but not stop,No,No,No,Yes,Yes,Missing,Monthly or less,I'd like to reduce the amount I drink but not stop,Missing,Never,Yes,No,No,No,No,No,Missing,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,Missing,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,Missing,Missing,It can be treated but not cured,I have heard of it but know nothing about it,It can be both treated and cured,I have heard of it but know nothing about it,Doctor,Yes,Missing,Agree,Not sure,Agree,Agree,Not sure,Agree,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,Not sure,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Missing,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Missing,Yes,Yes,No,Neither safe or unsafe,Neither safe or unsafe,Safe,Neither safe or unsafe,"Yes, but I wasn't the victim","Yes, but I wasn't the victim",Always,Don't know,Prefer not to say,No,Once or twice,Missing,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Not sure,Missing,No,Somewhat,Somewhat,No,No,No,No,No,No,No,No,No,No,Yes,Maybe,Missing,Maybe,No,No
,,,,,,,,,14,Other,Heterosexual/Straight,Black,No religion,Year 10,The Adeyfield Academy,Missing,No,No,No,No,No,Both parents,,,No,7,Missing,Missing,Missing,2,10,Once a week or less,On most days,On most days,On most days,Rarely or never,Once a week or less,2-3 days a week,Once a week or less,Once a week or less,Once a week or less,Missing,5,Don't know/ Prefer not to say,2 or more,4,Missing,0,No,No,Yes,I have never smoked,I have never vaped,Missing,No,No,No,Yes,Yes,Missing,Never,"No, I want to keep drinking alcohol",Missing,Monthly,Yes,No,No,No,No,No,I have never taken drugs,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Missing,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Missing,Missing,I have never heard of it,It can be both treated and cured,I have heard of it but know nothing about it,Missing,Pharmacy,Not sure,Missing,Not sure,Agree,Disagree,Agree,Not sure,Not sure,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Missing,No,Missing,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Neither safe or unsafe,Neither safe or unsafe,Neither safe or unsafe,Missing,No,No,Sometimes,No,No,Missing,Once or twice,Missing,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Missing,Sometimes,No,Yes,Somewhat,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No
,,,,,,,,,15,Female,"Gay, lesbian or bisexual",Black,No religion,Year 13,The Adeyfield Academy,Missing,No,No,No,No,Missing,Both parents,,,Prefer not to say,6,Missing,Missing,Missing,5,6,On most days,Once a week or less,On most days,Once a week or less,On most days,Once a week or less,On most days,On most days,Rarely or never,On most days,Missing,5,Overweight,2 or more,4,Missing,5,Yes,No,No,I have never smoked,I have never vaped,Missing,No,No,No,No,Yes,Yes,Never,"No, I want to keep drinking alcohol",4,Missing,Yes,No,No,No,No,No,I take drugs occasionally (less than once a week),No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,I'd like to reduce the amount I take but not stop,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Missing,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,Missing,Missing,It can be treated but not cured,Missing,It can be treated but not cured,It can be both treated and cured,Doctor,Not sure,Missing,Not sure,Agree,Agree,Disagree,Disagree,Agree,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Missing,Yes,Yes,Yes,No,Not sure,No,Yes,No,No,No,No,No,No,No,No,No,No,Prefer not to say,No,No,No,No,No,Unsafe,Unsafe,Unsafe,Safe,"Yes, I was the victim","Yes, I was the victim",Always,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Sometimes,Missing,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Maybe,No,No,Yes,Yes
,,,,,,,,,15,Male,Transgender,Black,Christian,Year 10,The Adeyfield Academy,Missing,No,No,No,No,No,Foster parents or in a care home,,,No,5,Missing,Missing,Missing,8,6,2-3 days a week,Once a week or less,2-3 days a week,On most days,Rarely or never,Rarely or never,Rarely or never,On most days,Rarely or never,On most days,Missing,5,Underweight,1,0,Missing,3,Yes,No,No,I smoke occasionally (less than 1 cigarette a week),I have vaped once or twice,Missing,No,No,No,No,Yes,Missing,Monthly or less,Missing,3,Weekly,No,No,No,No,Yes,No,I take drugs occasionally (less than once a week),No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,"No, I want to keep taking drugs",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Missing,Missing,It can be both treated and cured,It can be both treated and cured,It can be both treated and cured,It can be both treated and cured,Youth Service/Worker,Yes,Missing,Agree,Agree,Agree,Agree,Agree,Disagree,Yes,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Missing,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Missing,No,No,No,No,Not sure,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Neither safe or unsafe,Missing,Unsafe,Unsafe,"Yes, I was the victim",No,Missing,Prefer not to say,Once or twice,Once or twice,Once or twice,Missing,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Not sure,Missing,No,Missing,No,No,No,No,No,No,No,No,No,No,No,Maybe,Maybe,No,Missing,Missing,No
,,,,,,,,,15,Other,Heterosexual/Straight,Black,No religion,Year 11,Missing,Missing,No,Yes,No,No,Missing,Foster parents or in a care home,,,No,8,Missing,Missing,Missing,3,6,2-3 days a week,Rarely or never,On most days,On most days,2-3 days a week,Once a week or less,Once a week or less,Rarely or never,Rarely or never,Once a week or less,Missing,5,Don't know/ Prefer not to say,0,7,Missing,4,No,Yes,No,I smoke regularly (once a week or more),I have never vaped,Missing,No,No,No,No,No,Missing,Never,"Yes, I'd like to stop drinking alcohol",9,Weekly,No,No,No,No,Yes,No,I take drugs occasionally (less than once a week),No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,I'd like to reduce the amount I take but not stop,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Missing,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Missing,Missing,It can be both treated and cured,I have heard of it but know nothing about it,It can be both treated and cured,I have never heard of it,Youth Service/Worker,Not sure,Missing,Agree,Agree,Disagree,Missing,Agree,Agree,Missing,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,Missing,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Missing,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Missing,Missing,No,No,No,Unsafe,Neither safe or unsafe,Safe,Neither safe or unsafe,No,No,Never,No,Missing,Missing,Once or twice,Missing,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Missing,Sometimes,No,Somewhat,No,No,No,No,No,No,No,No,No,No,No,Yes,Maybe,Maybe,Missing,Missing,Maybe
,,,,,,,,,16,Male,"Gay, lesbian or bisexual",Black,No religion,Year 7,Missing,Missing,No,No,No,No,Missing,One parent,,,Prefer not to say,5,Missing,Missing,Missing,5,7,Rarely or never,On most days,Rarely or never,On most days,On most days,Once a week or less,2-3 days a week,Rarely or never,Once a week or less,Once a week or less,Missing,5,Don't know/ Prefer not to say,0,7,Missing,0,No,Yes,No,I have never smoked,Missing,Missing,No,No,No,No,No,Missing,Never,"No, I want to keep drinking alcohol",3,Missing,Yes,No,No,No,No,No,I take drugs occasionally (less than once a week),No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,I'd like to reduce the amount I take but not stop,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Missing,Missing,I have never heard of it,It can be treated but not cured,It can be both treated and cured,I have heard of it but know nothing about it,Youth Service/Worker,Not sure,Missing,Agree,Agree,Disagree,Agree,Not sure,Agree,Not sure,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Prefer not to say,No,No,No,No,No,No,No,No,No,No,No,No,No,Missing,No,Yes,No,Yes,No,Unsafe,Neither safe or unsafe,Neither safe or unsafe,Unsafe,No,No,Never,No,No,Once or twice,No,Missing,No,No,No,No,No,No,No,No,No,No,No,No,No,Sometimes,Missing,Yes,Missing,Somewhat,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Maybe,No
,,,,,,,,,16,Male,Transgender,Chinese,No religion,Year 11,The Adeyfield Academy,Missing,No,No,No,No,Yes,Both parents,,,No,4,Missing,Missing,Missing,5,8,Rarely or never,On most days,Rarely or never,On most days,On most days,Once a week or less,On most days,On most days,2-3 days a week,2-3 days a week,Missing,5,Overweight,0,0,Missing,4,Yes,No,No,I smoke occasionally (less than 1 cigarette a week),I have never vaped,Missing,No,No,No,No,No,Missing,4 or more times a week,Missing,Missing,Missing,Yes,No,No,Yes,No,No,Missing,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,Missing,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Missing,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Missing,Missing,It can be both treated and cured,It can be both treated and cured,Missing,I have heard of it but know nothing about it,Doctor,Not sure,Missing,Agree,Agree,Agree,Agree,Disagree,Disagree,Not sure,Yes,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Missing,No,No,Not sure,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Missing,Yes,No,No,No,Neither safe or unsafe,Safe,Safe,Safe,No,No,Never,Yes,Prefer not to say,No,Most days/Every day,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No,Missing,Sometimes,Somewhat,Somewhat,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Missing,Maybe,Maybe
,,,,,,,,,14,Other,"Gay, lesbian or bisexual",Black,No religion,Year 10,The Adeyfield Academy,Missing,No,No,No,No,Missing,Both parents,,,No,4,Missing,Missing,Missing,5,3,Rarely or never,Once a week or less,On most days,On most days,Rarely or never,Once a week or less,Rarely or never,On most days,Rarely or never,On most days,Missing,5,Don't know/ Prefer not to say,2 or more,7,Missing,3,Yes,No,No,I have never smoked,Missing,Missing,No,No,No,No,No,Missing,Never,"No, I want to keep drinking alcohol",5,Monthly,Yes,No,No,No,Yes,No,I take drugs occasionally (less than once a week),No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,Missing,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Missing,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,Missing,Missing,I have heard of it but know nothing about it,It can be both treated and cured,Missing,I have heard of it but know nothing about it,Doctor,Yes,Missing,Agree,Agree,Disagree,Agree,Agree,Disagree,Missing,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Not sure,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Missing,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Neither safe or unsafe,Unsafe,Unsafe,Neither safe or unsafe,"Yes, but I wasn't the victim",No,Sometimes,Yes,Prefer not to say,Missing,Most days/Every day,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Sometimes,No,Somewhat,Somewhat,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Maybe,No,Maybe
,,,,,,,,,15,Male,"Gay, lesbian or bisexual",White,Buddhist,Year 12,The Adeyfield Academy,Missing,No,No,No,No,No,Both parents,,,No,9,Missing,Missing,Missing,5,3,Once a week or less,On most days,On most days,On most days,Rarely or never,Once a week or less,Once a week or less,On most days,Once a week or less,On most days,Missing,5,Overweight,2 or more,1,Missing,0,No,No,No,I smoke regularly (once a week or more),I have vaped once or twice,Missing,No,No,No,No,No,Yes,Monthly or less,"No, I want to keep drinking alcohol",Missing,Weekly,No,No,No,Yes,Yes,No,I take drugs occasionally (less than once a week),No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Missing,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,Missing,Missing,It can be both treated and cured,Missing,Missing,It can be both treated and cured,School/College,Yes,Missing,Agree,Agree,Disagree,Agree,Agree,Missing,No,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Missing,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,No,Missing,No,Missing,Missing,Not sure,Prefer not to say,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Missing,No,No,No,No,Neither safe or unsafe,Safe,Unsafe,Safe,No,"Yes, but I wasn't the victim",Never,No,Once or twice,No,No,Prefer not to say,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Missing,No,Somewhat,Somewhat,No,No,No,No,No,No,No,No,No,No,Maybe,Maybe,Maybe,Maybe,Missing,Yes
,,,,,,,,,13,Other,Heterosexual/Straight,Chinese,No religion,Year 11,The Adeyfield Academy,Missing,No,Yes,No,No,No,Both parents,,,Prefer not to say,9,Missing,Missing,Missing,9,4,2-3 days a week,On most days,2-3 days a week,Once a week or less,2-3 days a week,Once a week or less,Rarely or never,2-3 days a week,Once a week or less,Once a week or less,Missing,5,Overweight,1,7,Missing,0,Yes,No,No,I have never smoked,Missing,Missing,No,No,No,No,No,Yes,4 or more times a week,"Yes, I'd like to stop drinking alcohol",Missing,Missing,No,No,No,No,No,No,I take drugs occasionally (less than once a week),No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Missing,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Missing,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Missing,Missing,I have heard of it but know nothing about it,It can be treated but not cured,Missing,It can be both treated and cured,Pharmacy,Not sure,Missing,Not sure,Missing,Disagree,Agree,Agree,Agree,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Not sure,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Missing,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Missing,No,No,No,Missing,Neither safe or unsafe,Neither safe or unsafe,Unsafe,Missing,"Yes, I was the victim",Never,No,Missing,Missing,No,Missing,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Not sure,No,Missing,Somewhat,No,No,No,No,No,No,No,No,No,No,No,Yes,Maybe,No,No,Missing,Yes
,,,,,,,,,18,Other,Heterosexual/Straight,White,Muslim,Year 7,Missing,Missing,No,No,No,No,Missing,One parent,,,No,9,Missing,Missing,Missing,8,6,2-3 days a week,On most days,2-3 days a week,On most days,2-3 days a week,Once a week or less,Rarely or never,Once a week or less,2-3 days a week,On most days,Missing,5,Overweight,1,7,Missing,0,No,No,No,I smoke regularly (once a week or more),I vape regularly (once a week or more),Missing,No,No,No,Yes,No,Missing,2-3 times a week,"No, I want to keep drinking alcohol",4,Weekly,No,No,No,No,No,No,I take drugs occasionally (less than once a week),No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Missing,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,Missing,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Missing,Missing,It can be both treated and cured,Missing,It can be both treated and cured,It can be both treated and cured,Youth Service/Worker,Missing,Missing,Agree,Agree,Missing,Agree,Not sure,Agree,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Missing,No,Missing,No,Yes,No,Yes,Prefer not to say,Yes,No,Yes,No,No,No,No,No,No,No,No,Missing,Yes,Missing,No,No,No,Unsafe,Neither safe or unsafe,Safe,Safe,No,"Yes, I was the victim",Never,No,No,Once or twice,Most days/Every day,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,Missing,Yes,Somewhat,No,No,No,No,No,No,No,No,No,No,No,Missing,Missing,No,Missing,Maybe,Missing
,,,,,,,,,18,Male,"Gay, lesbian or bisexual",Black,Christian,Year 11,The Adeyfield Academy,Missing,No,No,No,No,Yes,One parent,,,No,9,Missing,Missing,Missing,9,4,2-3 days a week,Once a week or less,2-3 days a week,On most days,Rarely or never,Once a week or less,Rarely or never,Once a week or less,Rarely or never,2-3 days a week,Missing,5,Overweight,2 or more,0,Missing,0,No,No,No,I smoke regularly (once a week or more),I have never vaped,Missing,No,No,No,No,No,Missing,Monthly or less,"Yes, I'd like to stop drinking alcohol",Missing,Never,No,No,No,Yes,Yes,No,I have never taken drugs,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,Missing,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,Missing,Missing,It can be both treated and cured,It can be treated but not cured,It can be treated but not cured,It can be both treated and cured,Doctor,Not sure,Missing,Not sure,Agree,Agree,Agree,Disagree,Agree,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Not sure,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Missing,No,No,Yes,No,No,Not sure,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Missing,Yes,No,No,Unsafe,Safe,Safe,Neither safe or unsafe,No,"Yes, I was the victim",Never,Yes,No,No,Most days/Every day,Missing,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,Yes,Missing,Missing,Somewhat,Missing,No,No,No,No,No,No,No,No,No,No,Maybe,Maybe,No,Missing,Maybe,Yes
,,,,,,,,,17,Male,"Gay, lesbian or bisexual",Mixed,Muslim,Year 11,The Adeyfield Academy,Missing,No,No,No,No,Yes,Foster parents or in a care home,,,Prefer not to say,7,Missing,Missing,Missing,9,4,Once a week or less,Rarely or never,Rarely or never,On most days,On most days,Once a week or less,Rarely or never,On most days,2-3 days a week,Once a week or less,Missing,5,Overweight,2 or more,0,Missing,0,Yes,No,Yes,I have never smoked,I have never vaped,"Yes, I'd like to stop smoking",No,No,No,No,Yes,No,Never,"No, I want to keep drinking alcohol",9,Monthly,No,No,No,No,No,No,I take drugs occasionally (less than once a week),No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,I'd like to reduce the amount I take but not stop,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Missing,Missing,It can be both treated and cured,It can be treated but not cured,It can be both treated and cured,I have never heard of it,Online (e.g. Sexwise website),Not sure,Missing,Agree,Agree,Agree,Disagree,Disagree,Agree,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Neither safe or unsafe,Unsafe,Safe,Neither safe or unsafe,"Yes, but I wasn't the victim","Yes, I was the victim",Never,No,No,Once or twice,Most days/Every day,Prefer not to say,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Missing,No,Missing,Yes,Somewhat,No,No,No,No,No,No,No,No,No,No,Maybe,Missing,No,No,Yes,Yes
,,,,,,,,,16,Female,"Gay, lesbian or bisexual",White,Christian,Year 11,Missing,Missing,No,No,No,No,Missing,One parent,,,No,7,Missing,Missing,Missing,9,4,Once a week or less,On most days,On most days,On most days,Rarely or never,Once a week or less,Once a week or less,Rarely or never,Rarely or never,Once a week or less,Missing,5,Don't know/ Prefer not to say,1,1,Missing,3,Yes,No,No,I smoke occasionally (less than 1 cigarette a week),I have vaped once or twice,"Yes, I'd like to stop smoking",No,No,No,No,No,Yes,Never,Missing,Missing,Less than monthly,No,No,No,No,No,No,I take drugs occasionally (less than once a week),No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I'd like to reduce the amount I take but not stop,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Missing,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Missing,Missing,It can be both treated and cured,Missing,It can be both treated and cured,It can be treated but not cured,Pharmacy,Missing,Missing,Agree,Agree,Agree,Disagree,Missing,Disagree,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Missing,No,Missing,Missing,No,No,No,Yes,Yes,No,No,No,No,No,No,Missing,Yes,Missing,No,No,No,Neither safe or unsafe,Missing,Safe,Missing,No,No,Sometimes,Prefer not to say,Once or twice,No,No,Missing,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,Sometimes,Missing,Somewhat,No,No,No,No,No,No,No,No,No,No,No,Missing,Maybe,Yes,Maybe,Yes,Maybe
